Zone,Loco Number,Make,Shed,Type
ECR,37384,HBL,GOMOH,WAP-7
ECR,37524,HBL,GOMOH,WAP-7
ECR,37353,HBL,Gomoh,WAP-7
ECR,30530,HBL,Gomoh,WAP-7
ECR,30544,HBL,Gomoh,WAP-7
ECR,30768,HBL,Gomoh,WAP-7
ECR,37282,HBL,Gomoh,WAP-7
ECR,37475,HBL,Gomoh,WAP-7
ECR,37415,HBL,Gomoh,WAP-7
ECR,37533,HBL,Gomoh,WAP-7
ECR,37041,HBL,Gomoh,WAP-7
ECR,37527,HBL,Gomoh,WAP-7
ECR,37359,HBL,Gomoh,WAP-7
ECR,39129,HBL,Gomoh,WAP-7
ECR,39127,HBL,Gomoh,WAP-7
ECR,30769,HBL,Gomoh,WAP-7
ECR,37534,HBL,Gomoh,WAP-7
ECR,37044,HBL,Gomoh,WAP-7
ER,37005,HBL,HWH,WAP-7
ER,37400,HBL,HWH,WAP-7
ER,30689,HBL,HWH,WAP-7
ER,30742,HBL,HWH,WAP-7
ER,37405,HBL,HWH,WAP-7
ER,30506,HBL,HWH,WAP-7
ER,37215,HBL,HWH,WAP-7
ER,30523,HBL,HWH,WAP-7
ER,30308,HBL,SDAH,WAP-7
ER,30372,HBL,SDAH,WAP-7
ER,30524,HBL,HWH,WAP-7
ER,37586,HBL,HWH,WAP-7
ER,30197,HBL,HWH,WAP-5
ER,30568,HBL,HWH,WAP-7
ER,30305,HBL,SDAH,WAP-7
ER,30529,HBL,HWH,WAP-7
ER,30092,HBL,HWH,WAP-5
ER,30567,HBL,HWH,WAP-7
ER,37185,HBL,HWH,WAP-7
ER,37181,HBL,HWH,WAP-7
ER,30205,HBL,SDAH,WAP-7
ER,30094,HBL,HWH,WAP-5
ER,30122,HBL,HWH,WAP-5
ER,30085,HBL,HWH,WAP-5
ER,30096,HBL,HWH,WAP5
ER,30099,HBL,HWH,WAP-5
ER,30322,HBL,SDAH,WAP-7
ER,35004,HBL,HWH,WAP-5
ER,30105,HBL,HWH,WAP-5
ER,37081,HBL,HWH,WAP-7
ER,30091,HBL,HWH,WAP-5
ER,37358,HBL,HWH,WAP-7
ER,30329,HBL,SDAH,WAP-7
ER,30082,HBL,HWH,WAP-5
ER,35001,HBL,HWH,WAP-5
ER,30093,HBL,HWH,WAP-5
ER,37120,HBL,HWH,WAP-7
ER,30115,HBL,HWH,WAP-5
ER,30330,HBL,SDAH,WAP-7
ER,37432,HBL,HWH,WAP-7
ER,30468,HBL,SDAH,WAP-7
